|customer_id|full_name               |avg_order            |
|-----------|------------------------|---------------------|
|CUS000260  |Kathleen Gonzalez       |15,041,333.3333333333|
|CUS000024  |Ethan Baker             |10,537,250           |
|CUS000571  |Michele Morris          |9,624,500            |
|CUS000919  |Melissa Sullivan        |15,005,200           |
|CUS000439  |Christian Mitchell      |17,556,214.2857142857|
|CUS000494  |Kirk Martinez           |15,167,583.3333333333|
|CUS000633  |Natalie Wagner          |11,527,833.3333333333|
|CUS000390  |Jason Murphy            |13,959,100           |
|CUS000589  |Kimberly Jones          |11,037,000           |
|CUS000338  |Amber Cook              |11,797,125           |
|CUS000257  |Megan Lawrence          |11,170,200           |
|CUS000087  |Richard Hawkins         |21,125,875           |
|CUS000131  |Marvin Rodriguez        |11,042,071.4285714286|
|CUS000973  |Connor Patel            |9,895,625            |
|CUS000361  |Sarah Ramirez           |18,091,000           |
|CUS000781  |Nathan Rodriguez        |13,117,375           |
|CUS000196  |Christopher Cochran     |15,638,333.3333333333|
|CUS000911  |Jennifer Kennedy DVM    |7,836,875            |
|CUS000610  |Douglas Gillespie       |8,386,833.3333333333 |
|CUS000416  |Lance Downs             |10,788,416.6666666667|
|CUS000097  |Joshua Hill             |3,020,000            |
|CUS000463  |Paul Pollard            |10,694,333.3333333333|
|CUS000290  |Thomas Hickman          |15,968,312.5         |
|CUS000808  |Lawrence Stafford       |13,515,600           |
|CUS000334  |Jeffrey Ruiz            |11,844,000           |
|CUS000414  |Danielle Parker         |11,149,000           |
|CUS000124  |Alexander Baker         |6,263,500            |
|CUS000798  |Jessica Young           |10,442,100           |
|CUS000600  |Debra Cole              |10,195,500           |
|CUS000398  |Lori Townsend           |10,111,937.5         |
|CUS000125  |Cindy Steele            |17,046,375           |
|CUS000329  |Janet Jenkins           |10,959,928.5714285714|
|CUS000884  |Teresa Anderson         |3,511,000            |
|CUS000229  |John Gonzalez           |15,277,400           |
|CUS000245  |Mr. Jason Vaughan       |12,528,200           |
|CUS000442  |Kevin Johnson           |8,898,000            |
|CUS000570  |Christopher Flynn       |10,450,812.5         |
|CUS000249  |Alec Lewis              |17,629,375           |
|CUS000607  |Gary Butler             |19,306,000           |
|CUS000493  |Theresa Holmes          |9,881,750            |
|CUS000923  |Michael Stewart         |11,221,500           |
|CUS000620  |Hannah Santiago         |10,772,166.6666666667|
|CUS000662  |Glen Harrison           |16,505,500           |
|CUS000786  |Kristy Scott            |11,169,961.5384615385|
|CUS000477  |Scott Osborne           |9,509,833.3333333333 |
|CUS000078  |John Steele             |9,117,200            |
|CUS000147  |Mikayla Gardner         |13,412,375           |
|CUS000695  |Lisa Gross              |8,392,285.7142857143 |
|CUS000680  |Alexander Mcclain       |6,158,500            |
|CUS000542  |Patty Contreras         |14,047,312.5         |
|CUS000901  |Lisa Cole               |17,388,250           |
|CUS000952  |Christopher Ortiz       |7,248,625            |
|CUS000613  |Robert Cooley           |12,806,666.6666666667|
|CUS000796  |Keith Edwards           |13,756,375           |
|CUS000931  |Adam Tanner             |13,097,083.3333333333|
|CUS000597  |Amanda Benitez          |8,999,200            |
|CUS000615  |Benjamin Singleton      |9,926,250            |
|CUS000292  |Jacqueline Robinson     |8,727,500            |
|CUS000679  |Jordan Benson           |5,113,666.6666666667 |
|CUS000732  |Cesar Cochran           |18,474,000           |
|CUS000747  |Jennifer Smith          |10,007,333.3333333333|
|CUS000483  |Lori Baldwin            |11,310,625           |
|CUS000044  |Jacob Sosa              |18,222,666.6666666667|
|CUS000724  |Mary Choi               |9,445,250            |
|CUS000841  |John Thompson           |8,610,200            |
|CUS000924  |Denise Smith            |13,086,833.3333333333|
|CUS000103  |Alexander Carney        |12,205,750           |
|CUS000142  |Kenneth Melendez        |9,210,000            |
|CUS000752  |Katherine Gomez         |12,581,100           |
|CUS000823  |Brenda Simpson          |7,213,666.6666666667 |
|CUS000545  |Michael Parrish         |17,304,222.2222222222|
|CUS000445  |Joseph Norton           |16,588,750           |
|CUS000966  |Erica Wood              |13,151,277.7777777778|
|CUS000535  |Adrian Ortiz            |15,169,375           |
|CUS000406  |Monique Ford            |6,111,000            |
|CUS000283  |Christopher White       |15,121,250           |
|CUS000458  |Joseph Valenzuela       |11,440,833.3333333333|
|CUS000424  |Laura Lynch             |7,693,600            |
|CUS000949  |Eric Dennis             |7,117,000            |
|CUS000504  |Wendy Harper            |11,334,750           |
|CUS000912  |Rachel Jackson          |9,110,625            |
|CUS000590  |Henry Martin            |7,866,857.1428571429 |
|CUS000448  |Lisa Gonzalez           |11,242,500           |
|CUS000020  |Amanda Ibarra           |13,450,333.3333333333|
|CUS000573  |Alexandra Davenport     |11,404,900           |
|CUS000391  |Robert Sanchez          |13,070,125           |
|CUS000566  |Shannon Giles           |12,702,750           |
|CUS000092  |Morgan Kemp             |12,718,083.3333333333|
|CUS000959  |Luis Rivera             |15,451,928.5714285714|
|CUS000041  |Erica Yang              |8,003,277.7777777778 |
|CUS000430  |Kayla Young             |9,266,333.3333333333 |
|CUS000003  |Patrick Johnson         |13,421,250           |
|CUS000939  |Elizabeth Webb          |11,513,500           |
|CUS000714  |Lisa Bryant             |14,938,700           |
|CUS000179  |Philip Williams         |16,280,833.3333333333|
|CUS000895  |Victoria Ayala          |13,050,700           |
|CUS000972  |Ryan Duncan             |10,326,000           |
|CUS000485  |Barbara Meza            |9,397,750            |
|CUS000299  |Samantha Lester         |13,662,100           |
|CUS000741  |Amber Mays              |8,726,666.6666666667 |
|CUS000423  |Whitney Love            |7,715,750            |
|CUS000382  |Samuel Smith            |15,638,250           |
|CUS000258  |Elizabeth Walton        |7,751,166.6666666667 |
|CUS000161  |Stacey Gilmore          |10,086,500           |
|CUS000601  |Christopher Gutierrez   |13,487,800           |
|CUS000717  |Tiffany Crawford        |7,372,666.6666666667 |
|CUS000657  |Tanner Green            |8,864,500            |
|CUS000936  |Adam Woodard            |14,438,500           |
|CUS000347  |Timothy Smith           |17,237,500           |
|CUS000297  |Alexander Black         |22,207,000           |
|CUS000810  |Donna Gilbert           |11,554,428.5714285714|
|CUS000345  |Katelyn Rodriguez       |28,393,500           |
|CUS000739  |Paul Vargas             |14,219,800           |
|CUS001000  |Dr. Raymond Robertson MD|15,240,750           |
|CUS000699  |Zachary Villegas        |16,819,833.3333333333|
|CUS000812  |Kyle Stevens            |21,736,250           |
|CUS000203  |Christopher Bass        |11,404,900           |
|CUS000897  |Beth Johnson            |15,276,000           |
|CUS000422  |Daniel Roberts          |11,410,650           |
|CUS000128  |Patrick Lin             |12,746,333.3333333333|
|CUS000067  |Stephanie Alvarez       |12,559,916.6666666667|
|CUS000094  |David Marquez           |18,610,250           |
|CUS000568  |Reginald Austin         |18,819,812.5         |
|CUS000748  |Andrew Gates            |7,539,500            |
|CUS000761  |Cody Harris             |10,202,000           |
|CUS000066  |Allison Parker          |12,682,000           |
|CUS000898  |Steven Clark            |15,521,437.5         |
|CUS000198  |Christina Cook          |13,293,900           |
|CUS000100  |Kevin James             |3,480,833.3333333333 |
|CUS000788  |Eric Woods              |3,484,750            |
|CUS000827  |Adam Rodriguez          |13,010,875           |
|CUS000370  |Jasmine Logan           |16,756,666.6666666667|
|CUS000815  |Carlos Powers           |9,528,166.6666666667 |
|CUS000135  |Amanda Weber            |17,712,600           |
|CUS000457  |Matthew Wilson          |1,170,000            |
|CUS000531  |Willie Evans            |9,857,909.0909090909 |
|CUS000902  |David Juarez            |17,642,428.5714285714|
|CUS000033  |Christine Wright        |9,052,500            |
|CUS000306  |Tyler Schneider         |8,125,500            |
|CUS000123  |Victoria Bowman         |12,913,500           |
|CUS000797  |Cassandra Parker        |12,570,500           |
|CUS000012  |Marcia Mosley           |12,020,166.6666666667|
|CUS000956  |Emily Bailey            |19,486,375           |
|CUS000636  |Gary Martin             |11,482,100           |
|CUS000868  |Teresa Young            |10,422,416.6666666667|
|CUS000474  |Robert Gray             |15,347,416.6666666667|
|CUS000550  |Crystal Park            |15,953,214.2857142857|
|CUS000071  |Michelle Rivera         |21,363,250           |
|CUS000870  |Victoria Cervantes      |16,449,187.5         |
|CUS000050  |Alexandria Gomez        |17,027,333.3333333333|
|CUS000432  |Thomas Bennett          |6,732,000            |
|CUS000937  |Kelly Flores            |14,322,333.3333333333|
|CUS000250  |Gary Montgomery         |8,262,916.6666666667 |
|CUS000527  |Bobby Sampson           |3,467,750            |
|CUS000132  |Sarah Ballard           |12,756,571.4285714286|
|CUS000226  |Anna Carpenter          |18,253,375           |
|CUS000631  |David Wiggins           |11,660,583.3333333333|
|CUS000110  |Nichole Fritz           |16,555,357.1428571429|
|CUS000617  |Jennifer Tanner         |14,069,071.4285714286|
|CUS000043  |Carrie Freeman          |10,526,666.6666666667|
|CUS000332  |Dean Lynn               |9,994,214.2857142857 |
|CUS000061  |Karen Johnson           |8,749,571.4285714286 |
|CUS000651  |Aaron Bautista          |2,060,000            |
|CUS000687  |Eileen Garcia           |6,872,750            |
|CUS000016  |Kimberly Johnson        |15,807,250           |
|CUS000844  |Benjamin Duran          |8,764,142.8571428571 |
|CUS000738  |Steven Williams         |8,195,100            |
|CUS000709  |Jacqueline Taylor       |7,486,500            |
|CUS000138  |Christopher Fisher      |12,275,500           |
|CUS000975  |Melissa Barnes          |13,366,100           |
|CUS000310  |Belinda Stein           |13,235,375           |
|CUS000381  |Angel Fox               |6,260,400            |
|CUS000754  |Charles Griffin         |14,039,125           |
|CUS000807  |Natasha Lee             |6,593,500            |
|CUS000593  |Michael Porter          |17,073,200           |
|CUS000826  |Christine Gibbs         |11,114,250           |
|CUS000828  |Michael Santos          |11,349,409.0909090909|
|CUS000672  |Richard Palmer          |10,923,333.3333333333|
|CUS000886  |Lisa Mcconnell          |12,501,666.6666666667|
|CUS000964  |Tina Harrison           |13,397,250           |
|CUS000343  |Scott Jackson           |551,000              |
|CUS000793  |Susan Barber            |9,320,200            |
|CUS000029  |Dr. Shane Johnson       |13,011,071.4285714286|
|CUS000008  |Paul Baker              |13,410,250           |
|CUS000355  |Steve Hatfield          |9,477,214.2857142857 |
|CUS000340  |Jason Lynch             |23,295,500           |
|CUS000684  |Crystal Briggs          |11,064,900           |
|CUS000211  |Stephanie Serrano       |9,805,500            |
|CUS000227  |Angela Morris           |23,576,875           |
|CUS000943  |Gregory Murphy          |3,348,375            |
|CUS000848  |Joshua Bowen            |18,853,750           |
|CUS000201  |Stacey Fry              |9,724,333.3333333333 |
|CUS000491  |Kelly Perkins           |22,689,000           |
|CUS000532  |Jennifer Martinez       |10,148,857.1428571429|
|CUS000882  |Diane Moore             |13,788,666.6666666667|
|CUS000954  |Brandi Anderson         |11,584,700           |
|CUS000244  |Richard Davis           |7,690,250            |
|CUS000749  |Troy Young              |9,634,833.3333333333 |
|CUS000419  |Keith Chambers          |10,193,666.6666666667|
|CUS000418  |Nicholas Frye            |15,428,428.5714285714|
|CUS000021  |Terry Trevino            |14,476,166.6666666667|
|CUS000908  |Jason Ashley             |14,993,500           |
|CUS000718  |William Nguyen           |16,424,900           |
|CUS000181  |Derek Sandoval           |15,455,166.6666666667|
|CUS000585  |April Perez              |15,702,250           |
|CUS000942  |Scott Willis             |15,524,750           |
|CUS000377  |Katie Stewart            |12,115,555.5555555556|
|CUS000733  |Daniel Lowe              |13,575,833.3333333333|
|CUS000090  |Thomas Medina            |15,768,100           |
|CUS000174  |Michelle Evans           |9,828,750            |
|CUS000592  |Todd Warner              |12,999,000           |
|CUS000170  |Brandi Garcia            |8,968,625            |
|CUS000692  |Sydney Turner            |14,235,625           |
|CUS000876  |Gary Hancock             |5,591,666.6666666667 |
|CUS000089  |Randall Kramer           |14,694,055.5555555556|
|CUS000168  |Taylor Young             |11,196,333.3333333333|
|CUS000616  |Mary Trujillo            |5,073,000            |
|CUS000638  |Kevin Holmes DVM         |14,232,000           |
|CUS000431  |Erin Bond                |12,210,125           |
